"Goals","Team","Opponent","Year","GroupStage","GDP","MarketValue","FifaRank","UefaPoints","CLPlayers"
1,"England","Russia",2016,1,1.54685438803271,1.20689955170219,-18,25202,2
1,"Russia","England",2016,1,-1.54685438803271,-1.20689955170219,18,-25202,-2
0,"Turkey","Croatia",2016,1,-0.13304888837664,-0.380854898385459,-9,10725,-2
1,"Croatia","Turkey",2016,1,0.13304888837664,0.380854898385459,9,-10725,2
1,"Poland","Northern Ireland",2016,1,-1.1951397493545,1.58609054843711,2,18000,1
0,"Northern Ireland","Poland",2016,1,1.1951397493545,-1.58609054843711,-2,-18000,-1
2,"Germany","Ukraine",2016,1,2.95715670847823,1.47483259810264,-15,35294,6
0,"Ukraine","Germany",2016,1,-2.95715670847823,-1.47483259810264,15,-35294,-6
1,"Spain","Czech Republic",2016,1,0.361567282232167,2.15838474401996,-24,72788,6
0,"Czech Republic","Spain",2016,1,-0.361567282232167,-2.15838474401996,24,-72788,-6
1,"Ireland","Sweden",2016,1,0.195510759791507,0.0261111440036859,-2,-14425,0
1,"Sweden","Ireland",2016,1,-0.195510759791507,-0.0261111440036859,2,14425,0
0,"Belgium","Italy",2016,1,0.306033060371904,0.527091598226368,-10,-30439,2
2,"Italy","Belgium",2016,1,-0.306033060371904,-0.527091598226368,10,30439,-2
0,"Austria","Hungary",2016,1,1.24757043480175,1.54523546926978,-10,15225,1
2,"Hungary","Austria",2016,1,-1.24757043480175,-1.54523546926978,10,-15225,-1
1,"Portugal","Iceland",2016,1,-1.12857095018246,2.04501594339966,-26,44332,2
1,"Iceland","Portugal",2016,1,1.12857095018246,-2.04501594339966,26,-44332,-2
1,"Russia","Slovakia",2016,1,-0.635198831273371,0.381613892285984,5,39082,0
2,"Slovakia","Russia",2016,1,0.635198831273371,-0.381613892285984,-5,-39082,0
1,"Romania","Switzerland",2016,1,-2.12584684045002,-1.12701176318981,7,-8392,0
1,"Switzerland","Romania",2016,1,2.12584684045002,1.12701176318981,-7,8392,0
2,"France","Albania",2016,1,2.19304639791295,2.40603366970134,-25,46124,4
0,"Albania","France",2016,1,-2.19304639791295,-2.40603366970134,25,-46124,-4
2,"England","Wales",2016,1,0,0.972781953356,-15,72784,1
1,"Wales","England",2016,1,0,-0.972781953356,15,-72784,-1
0,"Ukraine","Northern Ireland",2016,1,-2.93251400129733,1.27629346590556,-6,40383,0
2,"Northern Ireland","Ukraine",2016,1,2.93251400129733,-1.27629346590556,6,-40383,0
0,"Germany","Poland",2016,1,1.2197824565354,1.16503551557109,-23,57677,5
0,"Poland","Germany",2016,1,-1.2197824565354,-1.16503551557109,23,-57677,-5
1,"Italy","Sweden",2016,1,-0.518822766053441,1.1409146683588,-23,50564,0
0,"Sweden","Italy",2016,1,0.518822766053441,-1.1409146683588,23,-50564,0
2,"Czech Republic","Croatia",2016,1,0.40128592634888,-1.4418642122747,3,9050,-2
2,"Croatia","Czech Republic",2016,1,-0.40128592634888,1.4418642122747,-3,-9050,2
3,"Spain","Turkey",2016,1,0.895902096957688,1.09737543013071,-12,71113,6
0,"Turkey","Spain",2016,1,-0.895902096957688,-1.09737543013071,12,-71113,-6
3,"Belgium","Ireland",2016,1,-0.408300465473044,1.64189512258148,-31,34550,2
0,"Ireland","Belgium",2016,1,0.408300465473044,-1.64189512258148,31,-34550,-2
1,"Iceland","Hungary",2016,1,1.55886000263381,0.419373538154296,14,-1125,0
1,"Hungary","Iceland",2016,1,-1.55886000263381,-0.419373538154296,-14,1125,0
0,"Portugal","Austria",2016,1,-0.817281382350393,0.91915401228417,-2,27982,1
0,"Austria","Portugal",2016,1,0.817281382350393,-0.91915401228417,2,-27982,-1
0,"Romania","Albania",2016,1,0.841479923443483,0.311277893048463,-20,18758,0
1,"Albania","Romania",2016,1,-0.841479923443483,-0.311277893048463,20,-18758,0
0,"Switzerland","France",2016,1,0.774280365980553,-0.967744013463071,-2,-18974,-4
0,"France","Switzerland",2016,1,-0.774280365980553,0.967744013463071,2,18974,4
0,"Russia","Wales",2016,1,-1.54685438803271,-0.234117598346187,3,47582,-1
3,"Wales","Russia",2016,1,1.54685438803271,0.234117598346187,-3,-47582,1
0,"Slovakia","England",2016,1,-0.911655556759339,-1.58851344398817,13,-64284,-2
0,"England","Slovakia",2016,1,0.911655556759339,1.58851344398817,-13,64284,2
0,"Ukraine","Poland",2016,1,-1.73737425194283,-0.309797082531547,-8,22383,-1
1,"Poland","Ukraine",2016,1,1.73737425194283,0.309797082531547,8,-22383,1
0,"Northern Ireland","Germany",2016,1,-0.024642707180897,-2.7511260640082,21,-75677,-6
1,"Germany","Northern Ireland",2016,1,0.024642707180897,2.7511260640082,-21,75677,6
0,"Czech Republic","Turkey",2016,1,0.53433481472552,-1.06100931388924,12,-1675,0
2,"Turkey","Czech Republic",2016,1,-0.53433481472552,1.06100931388924,-12,1675,0
2,"Croatia","Spain",2016,1,-0.762853208581047,-0.716520531745254,21,-81838,-4
1,"Spain","Croatia",2016,1,0.762853208581047,0.716520531745254,-21,81838,4
2,"Iceland","Austria",2016,1,0.311289567832063,-1.12586193111549,24,-16350,-1
1,"Austria","Iceland",2016,1,-0.311289567832063,1.12586193111549,-24,16350,1
3,"Hungary","Portugal",2016,1,-0.430289052451359,-2.46438948155395,12,-43207,-2
3,"Portugal","Hungary",2016,1,0.430289052451359,2.46438948155395,-12,43207,2
0,"Italy","Ireland",2016,1,-0.714333525844948,1.11480352435511,-21,64989,0
1,"Ireland","Italy",2016,1,0.714333525844948,-1.11480352435511,21,-64989,0
0,"Sweden","Belgium",2016,1,0.212789705681537,-1.66800626658517,33,-20125,-2
1,"Belgium","Sweden",2016,1,-0.212789705681537,1.66800626658517,-33,20125,2
1,"Switzerland","Poland",2016,0,1.86393709664762,-0.0158733491562901,-12,11275,-1
1,"Poland","Switzerland",2016,0,-1.86393709664762,0.0158733491562901,12,-11275,1
1,"Wales","Northern Ireland",2016,0,0,1.54728969463711,1,-1000,1
0,"Northern Ireland","Wales",2016,0,0,-1.54728969463711,-1,1000,-1
0,"Croatia","Portugal",2016,0,-0.48014801004515,-0.16685915922153,19,-29207,0
0,"Portugal","Croatia",2016,0,0.48014801004515,0.16685915922153,-19,29207,0
2,"France","Ireland",2016,0,-0.536361763262397,1.62681188037015,-16,47299,4
1,"Ireland","France",2016,0,0.536361763262397,-1.62681188037015,16,-47299,-4
3,"Germany","Slovakia",2016,0,0.936298263940236,1.81956786000326,-20,68177,6
0,"Slovakia","Germany",2016,0,-0.936298263940236,-1.81956786000326,20,-68177,-6
0,"Hungary","Belgium",2016,0,-1.17359497135595,-2.82377696909323,18,-30125,-2
4,"Belgium","Hungary",2016,0,1.17359497135595,2.82377696909323,-18,30125,2
2,"Italy","Spain",2016,0,0.154567659996793,-0.717365483210818,6,-35274,-6
0,"Spain","Italy",2016,0,-0.154567659996793,0.717365483210818,-6,35274,6
1,"England","Iceland",2016,0,-0.407843310379777,2.37143062397683,-23,67534,2
2,"Iceland","England",2016,0,0.407843310379777,-2.37143062397683,23,-67534,-2
1,"Poland","Portugal",2016,0,-0.474412109551826,-0.607566418978835,19,-30582,-1
1,"Portugal","Poland",2016,0,0.474412109551826,0.607566418978835,-19,30582,1
3,"Wales","Belgium",2016,0,-0.022578279101916,-1.0057547603181,24,-36500,-1
1,"Belgium","Wales",2016,0,0.022578279101916,1.0057547603181,-24,36500,1
1,"Germany","Italy",2016,0,0.308097488450885,0.725173207279354,-8,9738,6
1,"Italy","Germany",2016,0,-0.308097488450885,-0.725173207279354,8,-9738,-6
5,"France","Iceland",2016,0,-0.513326329067214,2.3893201887276,-17,43999,4
2,"Iceland","France",2016,0,0.513326329067214,-2.3893201887276,17,-43999,-4
2,"Portugal","Wales",2016,0,-0.720727639802679,0.64636727277883,-18,49582,1
0,"Wales","Portugal",2016,0,0.720727639802679,-0.64636727277883,18,-49582,-1
0,"Germany","France",2016,0,0.130125725868334,0.213164851264314,-13,27428,2
2,"France","Germany",2016,0,-0.130125725868334,-0.213164851264314,13,-27428,-2
0,"Portugal","France",2016,0,-0.615244621115242,-0.344304245327946,-9,333,-2
0,"France","Portugal",2016,0,0.615244621115242,0.344304245327946,9,-333,2
0,"Turkey","Italy",2020,1,-1.29221102564494,-0.854585526437476,22,-45338,-3.53846153846154
3,"Italy","Turkey",2020,1,1.29221102564494,0.854585526437476,-22,45338,3.53846153846154
1,"Wales","Switzerland",2020,1,-0.661143914661773,-0.471840177053037,4,-21225,0
1,"Switzerland","Wales",2020,1,0.661143914661773,0.471840177053037,-4,21225,0
0,"Denmark","Finland",2020,1,0.209802028216616,1.94423790786295,-44,21000,0.884615384615385
1,"Finland","Denmark",2020,1,-0.209802028216616,-1.94423790786295,44,-21000,-0.884615384615385
3,"Belgium","Russia",2020,1,1.38803394058168,1.30538571033546,-37,-1882,2.65384615384615
0,"Russia","Belgium",2020,1,-1.38803394058168,-1.30538571033546,37,1882,-2.65384615384615
1,"England","Croatia",2020,1,1.04171769311665,1.25661121440086,-10,74008,4.42307692307692
0,"Croatia","England",2020,1,-1.04171769311665,-1.25661121440086,10,-74008,-4.42307692307692
3,"Austria","North Macedonia",2020,1,2.11931715000021,1.64493482949287,-39,28200,0
1,"North Macedonia","Austria",2020,1,-2.11931715000021,-1.64493482949287,39,-28200,0
3,"Netherlands","Ukraine",2020,1,2.66039653846325,1.1731599178964,-8,6100,0
2,"Ukraine","Netherlands",2020,1,-2.66039653846325,-1.1731599178964,8,-6100,0
0,"Scotland","Czech Republic",2020,1,0.588728385428135,0.350637603976055,4,6775,0.884615384615385
2,"Czech Republic","Scotland",2020,1,-0.588728385428135,-0.350637603976055,-4,-6775,-0.884615384615385
1,"Poland","Slovakia",2020,1,-0.205172845073786,0.74419340885606,-15,1500,0
2,"Slovakia","Poland",2020,1,0.205172845073786,-0.74419340885606,15,-1500,0
0,"Spain","Sweden",2020,1,-0.556025587969472,1.52836686483387,-12,77355,5.75
0,"Sweden","Spain",2020,1,0.556025587969472,-1.52836686483387,12,-77355,-5.75
0,"Hungary","Portugal",2020,1,-0.32908128035451,-2.40481571564294,32,-33049,-3.53846153846154
3,"Portugal","Hungary",2020,1,0.32908128035451,2.40481571564294,-32,33049,3.53846153846154
1,"France","Germany",2020,1,-0.137122129111754,0.0750514320255777,-10,-17489,1.76923076923077
0,"Germany","France",2020,1,0.137122129111754,-0.0750514320255777,10,17489,-1.76923076923077
0,"Finland","Russia",2020,1,1.43766679615549,-1.40655554625971,16,-31507,0
1,"Russia","Finland",2020,1,-1.43766679615549,1.40655554625971,-16,31507,0
0,"Turkey","Wales",2020,1,-1.53430983998624,0.608806032126195,12,25100,0
2,"Wales","Turkey",2020,1,1.53430983998624,-0.608806032126195,-12,-25100,0
3,"Italy","Switzerland",2020,1,-0.903242729003068,0.991551381510633,-6,49213,3.53846153846154
0,"Switzerland","Italy",2020,1,0.903242729003068,-0.991551381510633,6,-49213,-3.53846153846154
2,"Ukraine","North Macedonia",2020,1,-0.498256884077085,1.1584127119709,-38,25475,0.884615384615385
1,"North Macedonia","Ukraine",2020,1,0.498256884077085,-1.1584127119709,38,-25475,-0.884615384615385
